site,gallery,source_id,url,title,content,author,posted_at,comment_count,meta,comments
theqoo,ktalk/category/1947874,4003041644,https://theqoo.net/ktalk/4003041644?page=196&category=1947874,마가 동남아 이딴게 제일 웃기네,대체 왜 마가하는거임?,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 193, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041644?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003041525,https://theqoo.net/ktalk/4003041525?page=196&category=1947874,와 우리 제일 큰 번역계정 유럽이었네,뭔가 신기,무명의 더쿠,2025-11-23T00:00:00,2,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 328, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041525?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003041218,https://theqoo.net/ktalk/4003041218?page=196&category=1947874,거주국가나 접속위치가 아예 안뜨는 계정도 있구나,는 정부인증계정ㅋㅋㅋ,무명의 더쿠,2025-11-23T00:00:00,2,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 272, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041218?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003041199,https://theqoo.net/ktalk/4003041199?page=197&category=1947874,가입한 국적이 뜨는거야?,실시간이아니라?,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 152, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041199?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003041129,https://theqoo.net/ktalk/4003041129?page=197&category=1947874,내돌 해외인기 별로없는데 넴드들 국가는 ㅈㄴ 다양하네,외퀴넴드들 뭔 미국 영국 이탈리아 아르헨티나 포르투갈 막 이러네 아시아인기말고 별로 없는거같은데,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 169, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041129?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040965,https://theqoo.net/ktalk/4003040965?page=197&category=1947874,피지컬 아시아 뒤로갈수록 재밌어서 초반이 더욱 아쉬워,영토 점령이랑 난파선에서 시간 너무 잡아먹음ㅠㅠ 탈락팀 결정되는 것도 아닌데,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 66, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040965?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040905,https://theqoo.net/ktalk/4003040905?page=197&category=1947874,돌 일본공계 궁금해서 봤는데 일본이넼ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ당연함.,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 88, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040905?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040618,https://theqoo.net/ktalk/4003040618?page=197&category=1947874,근데 동남아애들이 maga코스프레는 왜하는거임,대체 왜지,무명의 더쿠,2025-11-23T00:00:00,10,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 711, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040618?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040263,https://theqoo.net/ktalk/4003040263?page=197&category=1947874,아이디 바꾼 횟수도 뜨는구나,ㅇㄴ,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 59, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040263?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040261,https://theqoo.net/ktalk/4003040261?page=197&category=1947874,트위터 국적 어떻게 확인해?,어디에 보여?,무명의 더쿠,2025-11-23T00:00:00,2,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 243, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040261?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003040230,https://theqoo.net/ktalk/4003040230?page=197&category=1947874,위치 홍콩으로 뜨는데 정확하지 않을수 있음 이렇게 뜨는건 중국인가?,접속어플은 앱스토어 차이나 뜨네,무명의 더쿠,2025-11-23T00:00:00,2,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 132, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003040230?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003039956,https://theqoo.net/ktalk/4003039956?page=197&category=1947874,러블리즈 가대축 나와?,대박,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 110, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003039956?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003039799,https://theqoo.net/ktalk/4003039799?page=197&category=1947874,내가 좋아한 새우가 가짜새우라니...,"해외여행갔을때 바닷가에서 먹은 새우 맛없다고 생각했어
너무 빡빡해가지고",무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 95, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003039799?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003039722,https://theqoo.net/ktalk/4003039722?page=197&category=1947874,장기용 안그렇게 생겨서 여배들이랑 케미 개쩌는듯,안그렇게 생겼다는건 장기용 생긴거 말하는게 아니라.. 그냥 모델 느낌이라고만 생각했음ㅋㅋㅋㅋㅋㅋㅋ,무명의 더쿠,2025-11-23T00:00:00,3,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 164, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003039722?page=197&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003039533,https://theqoo.net/ktalk/4003039533?page=197&category=1947874,허리보호대 추천해줄 사람? 어디꺼가 괜찮아?,요즘 허리가 아파서ㅠㅠㅠㅠ 추천해주라,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 30, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003039533?page=197&category=1947874'}",[]
