community,full_text,timestamp,sentence,all_endings,intent,punctuation,symbols,min_prob,last_token_prob,has_oov,needs_manual_intent
dcinside_남자연예인_갤러리,퇴공은 죄범이네로 못넘어옴 약창년들이 빠는건 약국스타일은 살짝 뽕끼나야됨 머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔 보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,2025-11-23T15:48:37,약창년들이 빠는건 약국스타일은 살짝 뽕끼나,"[[""나"", ""EF"", 0.891930103302002, 0]]",,[],[],0.7836614847183228,0.891930103302002,True,True
dcinside_남자연예인_갤러리,퇴공은 죄범이네로 못넘어옴 약창년들이 빠는건 약국스타일은 살짝 뽕끼나야됨 머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔 보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,2025-11-23T15:48:37,야됨,"[[""(으)ㅁ"", ""EF"", 0.9946895837783813, 0]]",,[],[],0.7438741326332092,0.9946895837783813,False,True
dcinside_남자연예인_갤러리,퇴공은 죄범이네로 못넘어옴 약창년들이 빠는건 약국스타일은 살짝 뽕끼나야됨 머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔 보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,2025-11-23T15:48:37,머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔,"[[""긔"", ""EF"", 0.5351940989494324, 1]]",,[],[],0.0,0.5351940989494324,True,True
dcinside_남자연예인_갤러리,퇴공은 죄범이네로 못넘어옴 약창년들이 빠는건 약국스타일은 살짝 뽕끼나야됨 머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔 보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,2025-11-23T15:48:37,보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,"[[""(으)ㅁ"", ""EF"", 0.9673784971237183, 0]]",,[],[],0.0,0.9673784971237183,True,True
dcinside_남자연예인_갤러리,난 막내한테 무시받는 연장자는 죽어도 못빨겠긔 얼마나 ㅎㅌㅊ란거야,2025-11-23T15:48:29,,"[[""긔"", ""EF"", 0.5483111143112183, 1]]",,[],[],0.5483111143112183,0.5483111143112183,True,True
dcinside_남자연예인_갤러리,난 막내한테 무시받는 연장자는 죽어도 못빨겠긔 얼마나 ㅎㅌㅊ란거야,2025-11-23T15:48:29,얼마나 ㅎㅌㅊ란거야,"[[""야"", ""EF"", 0.9650974273681641, 0]]",,[],"[""ㅎㅌㅊ""]",0.5927777886390686,0.9650974273681641,True,True
dcinside_남자연예인_갤러리,인가엠씨 이현띠니네 놈이쁘다 고정으로 바꾸시긔,2025-11-23T15:48:24,인가엠씨 이현띠니네 놈이쁘다 고정으로 바꾸시긔,"[[""긔"", ""EF"", 0.44670259952545166, 1]]",,[],[],0.44670259952545166,0.44670259952545166,True,True
dcinside_남자연예인_갤러리,은저씨아들 이번에 쇼미나오면 제대로 구경해야지 실력 좆같은데 죄범이 빨로 올라가면 힙갤에서 개팰거긔 띠니 국힙은 실력이 더 중요하다고 생개해서 앙,2025-11-23T15:48:22,은저씨아들 이번에 쇼미나오면 제대로 구경해야지 실력 좆같은데 죄범이 빨로 올라가면 힙갤에서 개팰거긔 띠니 국힙은 실력이 더 중요하다고 생개해서 앙,[],,[],[],0.0,0.6586915850639343,True,True
dcinside_남자연예인_갤러리,뉴트남 팡고 찍던것도 다짤렸자노 여론 어딜가나 비호감인데 자본주의 타령하는거 웃음만 나오긔,2025-11-23T15:48:20,뉴트남 팡고 찍던것도 다짤렸자노 여론 어딜가나,"[[""나"", ""EF"", 0.7521950006484985, 0]]",,[],[],0.0,0.7521950006484985,True,True
dcinside_남자연예인_갤러리,뉴트남 팡고 찍던것도 다짤렸자노 여론 어딜가나 비호감인데 자본주의 타령하는거 웃음만 나오긔,2025-11-23T15:48:20,비호감인데 자본주의 타령하는거 웃음만 나오긔,"[[""긔"", ""EF"", 0.802716851234436, 1]]",,[],[],0.0,0.802716851234436,True,True
dcinside_남자연예인_갤러리,코아픈 벌써 5주년이노? 참 시간 빠르군아,2025-11-23T15:48:08,코아픈 벌써 5주년이노?,"[[""노"", ""EF"", 0.9518612623214722, 0]]",,"[""?""]",[],0.9518612623214722,0.9921427965164185,False,False
dcinside_남자연예인_갤러리,코아픈 벌써 5주년이노? 참 시간 빠르군아,2025-11-23T15:48:08,참 시간 빠르군아,"[[""군아"", ""EF"", 0.6875722408294678, 1]]",,[],[],0.6875722408294678,0.6875722408294678,True,True
dcinside_남자연예인_갤러리,민줌이 설명한 여갈이 캐릭 좌절 절망,2025-11-23T15:47:47,민줌이 설명한 여갈이 캐릭 좌절 절망,[],,[],[],0.0,0.9682283997535706,True,True
dcinside_남자연예인_갤러리,뉴젖괴들 진짜 긁혔노 트럭보낼 화력도 없노,2025-11-23T15:47:42,뉴젖괴들 진짜 긁혔노,"[[""노"", ""EF"", 0.5149462819099426, 0]]",,[],[],0.5149462819099426,0.5149462819099426,True,True
dcinside_남자연예인_갤러리,뉴젖괴들 진짜 긁혔노 트럭보낼 화력도 없노,2025-11-23T15:47:42,트럭보낼 화력도 없노,"[[""노"", ""EF"", 0.7310680150985718, 0]]",,[],[],0.7310680150985718,0.7310680150985718,False,True
dcinside_남자연예인_갤러리,코아픈 오늘 뭐하는데 역조공을줌,2025-11-23T15:47:28,코아픈 오늘 뭐하는데 역조공을줌,[],,[],[],0.0,0.8146815299987793,True,True
dcinside_남자연예인_갤러리,곰아픈은 ㄹㅇ 눈치봐야되는거 아니노? 적자 아니긔?,2025-11-23T15:46:45,곰아픈은 ㄹㅇ 눈치봐야되는거 아니노?,"[[""노"", ""EF"", 0.9731690287590027, 0]]",,"[""?""]","[""ㄹㅇ""]",0.5047265887260437,0.9912786483764648,True,True
dcinside_남자연예인_갤러리,곰아픈은 ㄹㅇ 눈치봐야되는거 아니노? 적자 아니긔?,2025-11-23T15:46:45,적자 아니긔?,"[[""긔"", ""EF"", 0.9183664321899414, 1]]",,"[""?""]",[],0.5460528135299683,0.9759132266044617,True,True
dcinside_남자연예인_갤러리,코아픈도 참 요즘 그래도 김치앰 분위기좋았는데 지들손으로 다시 터는군아 이렇게 유입 쌓이면 털고 쌓이면 털고 반복해서 코아픈 김치앰이 안늘긔,2025-11-23T15:46:39,코아픈도 참 요즘 그래도 김치앰 분위기좋았는데 지들손으로 다시 터는군아 이렇게 유입 쌓이면 털고 쌓이면 털고 반복해서 코아픈 김치앰이 안늘긔,"[[""긔"", ""EF"", 0.4160318076610565, 1]]",,[],[],0.0,0.4160318076610565,True,True
dcinside_남자연예인_갤러리,코아픈 빻키 춤 설렁일때 진작 버렸어야지 초심 하나씩 잃고있노 ㅉㅉ,2025-11-23T15:46:24,코아픈 빻키 춤 설렁일때 진작 버렸어야지 초심 하나씩 잃고있노 ㅉㅉ,"[[""노"", ""EF"", 0.5757291913032532, 0]]",,[],"[""ㅉㅉ""]",0.0,0.5739860534667969,True,True
dcinside_남자연예인_갤러리,좆돌 외퀴들 국적 털리는거 존나웃기노ㅋㅋㅋㅋ 쌀국 잉국 독국인척하던년들 싹 인니 필리핀 ㅇㅈㄹ,2025-11-23T15:46:16,좆돌 외퀴들 국적 털리는거 존나웃기노ㅋㅋㅋㅋ 쌀국 잉국 독국인척하던년들 싹 인니 필리핀 ㅇㅈㄹ,[],,[],"[""ㅋㅋㅋ"", ""ㅇㅈㄹ""]",0.0,0.8504490256309509,True,True
dcinside_남자연예인_갤러리,코아픈도 참 돈 많이벌어놓고 역조공을 이따구로 주노,2025-11-23T15:45:51,코아픈도 참 돈 많이벌어놓고 역조공을 이따구로 주노,"[[""노"", ""EF"", 0.6499326229095459, 0]]",,[],[],0.0,0.6499326229095459,True,True
dcinside_남자연예인_갤러리,뉴젖괴들 트럭에 존나 긁히나 하루종일 트럭 얘기하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T15:45:20,뉴젖괴들 트럭에 존나 긁히나,"[[""나"", ""EF"", 0.8990340232849121, 0]]",,[],[],0.830469012260437,0.8990340232849121,True,True
dcinside_남자연예인_갤러리,뉴젖괴들 트럭에 존나 긁히나 하루종일 트럭 얘기하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T15:45:20,하루종일 트럭 얘기하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"[[""노"", ""EF"", 0.49853572249412537, 0]]",,[],"[""ㅋㅋㅋ""]",0.0,0.7507250905036926,True,True
dcinside_남자연예인_갤러리,코아픈 5주년 무대에서 노래 놓치고 안무 까먹고 준비 안 한 티내서 욕먹는거래,2025-11-23T15:44:46,코아픈 5주년 무대에서 노래 놓치고 안무 까먹고 준비 안 한 티내서 욕먹는거래,"[[""래"", ""EF"", 0.6852256655693054, 0]]",,[],[],0.6852256655693054,0.6852256655693054,False,True
dcinside_남자연예인_갤러리,구라안치고 뉴트남돌아오면 곰자매가 눈치볼듯 그게 자본주의긔,2025-11-23T15:44:18,구라안치고 뉴트남돌아오면 곰자매가 눈치볼듯 그게 자본주의긔,"[[""긔"", ""EF"", 0.4133763909339905, 1]]",,[],[],0.38659417629241943,0.4133763909339905,True,True
dcinside_남자연예인_갤러리,볼수록 뉴트남은 신손이랑 엮였어야돼 저련들 다섯다 시녀기질이고 ㅈㄴ주인한테 꼬리잘흔들고 잘부비는습성에 퀸모시는건 개잘해서 신손깅한테 충성스런개로살다가 신세계서 뚝딱 한자리씩 해먹을련들인데 하필 개거지 민줌을 만나서 꼬였긔,2025-11-23T15:44:01,볼수록 뉴트남은 신손이랑 엮였어야돼 저련들 다섯다 시녀기질이고 ㅈㄴ주인한테 꼬리잘흔들고 잘부비는습성에 퀸모시는건 개잘해서 신손깅한테 충성스런개로살다가 신세계서 뚝딱 한자리씩 해먹을련들인데 하필 개거지 민줌을 만나서 꼬였긔,"[[""긔"", ""EF"", 0.7597150802612305, 1]]",,[],"[""ㅈㄴ""]",0.0,0.7597150802612305,True,True
dcinside_남자연예인_갤러리,곰젖괴들 멘헤라처럼 트럭 보내는데 정작 이년들은 아무타격 없는거같아서 ㅈㄴ 웃기긴해,2025-11-23T15:43:49,곰젖괴들 멘헤라처럼 트럭 보내는데 정작 이년들은 아무타격 없는거같아서 ㅈㄴ 웃기긴해,"[[""아"", ""ECF"", 0.923358678817749, 0]]",,[],"[""ㅈㄴ""]",0.0,0.923358678817749,True,True
dcinside_남자연예인_갤러리,응옥이 폭식증 있다며 기는 쎄도 멘탈 ㅅㅌㅊ는 아닌것 같긔,2025-11-23T15:43:43,응옥이 폭식증 있다며 기는 쎄도 멘탈 ㅅㅌㅊ는 아닌것 같긔,"[[""긔"", ""EF"", 0.4916934669017792, 1]]",,[],"[""ㅅㅌㅊ""]",0.4916934669017792,0.4916934669017792,True,True
dcinside_남자연예인_갤러리,근데 곰팡핌은 하괴 빼고 다 멘탈 ㅎㅌㅊ같아 생각보다도 여메가 멘탈이 ㄹㅇ ㅎㅌㅊ긔,2025-11-23T15:43:32,근데 곰팡핌은 하괴 빼고 다 멘탈 ㅎㅌㅊ같아 생각보다도 여메가 멘탈이 ㄹㅇ ㅎㅌㅊ긔,"[[""긔"", ""EF"", 0.6071462631225586, 1]]",,[],"[""ㅎㅌㅊ"", ""ㄹㅇ""]",0.0,0.6071462631225586,True,True
dcinside_남자연예인_갤러리,능아픈 솟2처럼 라디오에서도 립싱갈겨야지 누가 라이브하래,2025-11-23T15:43:29,능아픈 솟2처럼 라디오에서도 립싱갈겨야지 누가 라이브하래,"[[""래"", ""EF"", 0.9002553224563599, 0]]",,[],[],0.5054040551185608,0.9002553224563599,True,True
dcinside_남자연예인_갤러리,예체능쪽에서도 김치국악무용 이쪽이 정신병좆될거같아 여긴 ㄹㅇ 김치안에서 잘못보이면 좆될거같고,2025-11-23T15:43:17,예체능쪽에서도 김치국악무용 이쪽이 정신병좆될거같아 여긴 ㄹㅇ 김치안에서 잘못보이면 좆될거같고,"[[""고"", ""ECF"", 0.9892178177833557, 0]]",,[],"[""ㄹㅇ""]",0.46527260541915894,0.9892178177833557,True,True
dcinside_남자연예인_갤러리,뿡격거 라방 보는데 똠짱이랑 순남준 분위기 뭐긔 뽀뽀해달라는 건가,2025-11-23T15:43:04,뿡격거 라방 보는데 똠짱이랑 순남준 분위기 뭐긔 뽀뽀해달라는 건가,"[[""ㄴ가"", ""EF"", 0.9222214221954346, 0]]",,[],[],0.0,0.9222214221954346,True,True
dcinside_남자연예인_갤러리,뉴트남이 상식적으로 멘탈나갈이유가없는게 숨만쉬어도 곰팡핌 투어돈만큼 돈벌고있긔 변호새비용도 돈이얽힌비용이어야비싸지 저런건 연옌한텐 껌깞수준이긔윤,2025-11-23T15:42:29,뉴트남이 상식적으로 멘탈나갈이유가없는게 숨만쉬어도 곰팡핌,"[[""(으)ㅁ"", ""EF"", 0.9907965660095215, 0]]",,[],[],0.0,0.9907965660095215,True,True
